geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.3307884004,-99.0680271467",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3734833309,-99.0531053615",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3175637378,-99.0952544196",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3251115122,-99.0615113111",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.3158892275,-99.0867548378",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2602911822,-99.0976968264",Hidrometeorológicos,Inundaciones,Muy Alto,Xochimilco,5.0
"19.310513647,-99.0846396212",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2965064838,-99.0706636734",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4167412642,-99.1465467323",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4538329271,-99.0917655976",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4055297655,-99.147767764",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4155680763,-99.1566898001",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4617214059,-99.0966467194",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.5042739969,-99.0825507865",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4941126614,-99.0703336805",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4667544346,-99.0980322095",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.5090082536,-99.1022274964",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4282498714,-99.1394245172",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4808488862,-99.116846279",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3958945761,-99.1090357676",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4993167443,-99.069359239",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4375692622,-99.1513671431",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.3939793216,-99.1304109816",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.403973116,-99.1701945489",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4793857297,-99.1137574892",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4127455323,-99.1796233284",Geológicos,Sísmico,Alto,Cuauhtémoc,4.0
"19.4575162941,-99.1211828186",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.449302772,-99.1149139737",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4403633212,-99.0789413609",Socio Organizativo,N/D,Alto,Venustiano Carranza,4.0
"19.4344801668,-99.1782400336",Geológicos,Sísmico,Alto,Miguel Hidalgo,4.0
"19.4115292337,-99.1261562644",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4435655712,-99.093022039",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4311116859,-99.1126745674",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.299173463,-99.0587239766",Hidrometeorológicos,Inundaciones,Muy Alto,Tláhuac,5.0
"19.3349320125,-99.0576204936",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3339648498,-99.0611883761",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3401530809,-99.0419850561",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.2161011288,-99.1015160126",Socio Organizativo,N/D,Alto,Xochimilco,4.0
"19.2474326506,-99.0175796705",Socio Organizativo,N/D,Muy Alto,Xochimilco,5.0
"19.2715961795,-99.1168992655",Geológicos,Sísmico,Muy Alto,Xochimilco,5.0
"19.4178591547,-99.0580103927",Hidrometeorológicos,Inundaciones,Alto,Iztacalco,4.0
"19.3555082607,-99.1299608414",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3545103105,-99.1246462893",Geológicos,Sísmico,Muy Alto,Coyoacán,5.0
"19.3886232201,-99.1312811456",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4797248369,-99.125081824",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4398019037,-99.1106126356",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4212472697,-99.1022297677",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4602664143,-99.1738649126",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.4388784094,-99.1658026312",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4074681655,-99.1096689711",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.3175961042,-99.1479541178",Hidrometeorológicos,Inundaciones,Alto,Coyoacán,4.0
"19.403973116,-99.1701945489",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.3137286223,-99.1131606556",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.4891709164,-99.0845950529",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.3915190753,-99.1062809426",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.4970179627,-99.0796939984",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.5015690905,-99.1393816834",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4601296271,-99.1407144319",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.419925163,-99.0856979554",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4121304028,-99.1472478294",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.42713749,-99.0594882152",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.3710656065,-99.1512342659",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.5090082536,-99.1022274964",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4808488862,-99.116846279",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4730892083,-99.1421035292",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.495208646,-99.0754301995",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.2884168792,-99.03269649",Socio Organizativo,N/D,Alto,Tláhuac,4.0
"19.4257090764,-99.112496527",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.3130469767,-99.1222375517",Hidrometeorológicos,Inundaciones,Muy Alto,Coyoacán,5.0
"19.3790028853,-99.1627532547",Geológicos,Sísmico,Alto,Benito Juárez,4.0
"19.4582996511,-99.2079956922",Hidrometeorológicos,Inundaciones,Alto,Miguel Hidalgo,4.0
"19.3410353046,-99.0615880068",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.435980979,-99.0956056193",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4470036704,-99.1158125338",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.4441765224,-99.1192934095",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.2908372828,-99.1175850171",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.4009210056,-99.1860523098",Hidrometeorológicos,Inundaciones,Alto,Miguel Hidalgo,4.0
"19.4111160823,-99.1233107638",Hidrometeorológicos,Inundaciones,Muy Alto,Venustiano Carranza,5.0
"19.3396211658,-99.0815106643",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3314489647,-99.020191109",Socio Organizativo,N/D,Muy Alto,Iztapalapa,5.0
"19.2958887875,-99.1075729829",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.4084338369,-99.1657330616",Hidrometeorológicos,Inundaciones,Muy Alto,Cuauhtémoc,5.0
"19.4554827223,-99.058672774",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4636366352,-99.1107774191",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.50518825,-99.1262119363",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.5208596865,-99.1631124392",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.5039967728,-99.1302890795",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
"19.4030403112,-99.0646291945",Hidrometeorológicos,Inundaciones,Muy Alto,Iztacalco,5.0
